City,Current Temperature,Feels Like Temperature,Minimum Temperature,Maximum Temperature,Pressure,Humidity,Wind Speed,Wind Direction,Sunrise,Sunset
Paris,11.260000000000048,9.770000000000039,10.640000000000043,12.430000000000007,1025,51,6.69,50,2023-04-03 07:24:51,2023-04-03 20:22:48
Marseille,17.680000000000007,16.420000000000016,14.53000000000003,18.700000000000045,1010,35,2.24,340,2023-04-03 07:16:58,2023-04-03 20:05:29
Lyon,8.310000000000002,7.420000000000016,6.0400000000000205,8.610000000000014,1019,75,1.79,343,2023-04-03 07:18:42,2023-04-03 20:11:05
Toulouse,11.960000000000036,10.930000000000007,11.560000000000002,12.650000000000034,1020,66,5.14,280,2023-04-03 07:32:58,2023-04-03 20:21:56
Nice,9.629999999999995,8.129999999999995,8.900000000000034,10.340000000000032,1010,53,2.9,208,2023-04-03 07:09:27,2023-04-03 19:58:59
Nantes,7.960000000000036,5.2000000000000455,7.810000000000002,7.960000000000036,1025,76,4.63,60,2023-04-03 07:42:06,2023-04-03 20:37:00
Strasbourg,8.050000000000011,4.53000000000003,7.7000000000000455,8.490000000000009,1025,53,6.69,60,2023-04-03 07:03:34,2023-04-03 20:00:56
Montpellier,17.890000000000043,16.730000000000018,17.29000000000002,18.05000000000001,1013,38,6.17,10,2023-04-03 07:23:14,2023-04-03 20:12:11
Bordeaux,13.150000000000034,12.04000000000002,13.150000000000034,15.189999999999998,1022,58,2.57,50,2023-04-03 07:40:04,2023-04-03 20:31:01
Lille,10.860000000000014,9.200000000000045,8.850000000000023,12.150000000000034,1027,46,6.69,50,2023-04-03 07:20:16,2023-04-03 20:21:42
Rennes,9.310000000000002,7.960000000000036,9.020000000000039,11.430000000000007,1026,71,2.57,100,2023-04-03 07:41:32,2023-04-03 20:38:14
Reims,10.870000000000005,9.32000000000005,9.410000000000025,10.879999999999995,1026,50,6.69,80,2023-04-03 07:17:38,2023-04-03 20:16:09
Le Havre,9.510000000000048,6.920000000000016,9.510000000000048,10.860000000000014,1027,61,5.14,70,2023-04-03 07:33:11,2023-04-03 20:32:23
Saint-Etienne,6.6200000000000045,2.7000000000000455,6.6200000000000045,8.200000000000045,1019,87,6.69,340,2023-04-03 07:19:41,2023-04-03 20:11:33
Toulon,18.220000000000027,17.510000000000048,16.810000000000002,22.74000000000001,1009,54,6.69,240,2023-04-03 07:15:24,2023-04-03 20:03:35
Grenoble,2.5400000000000205,-0.07999999999998408,2.5400000000000205,2.5400000000000205,1017,93,2.57,336,2023-04-03 07:14:15,2023-04-03 20:05:32
Dijon,6.930000000000007,3.2800000000000296,6.850000000000023,9.060000000000002,1022,76,6.17,30,2023-04-03 07:15:37,2023-04-03 20:10:42
N̨mes,15.710000000000036,14.510000000000048,14.100000000000023,16.310000000000002,1013,45,10.29,360,2023-04-03 07:20:50,2023-04-03 20:10:16
Angers,11.0,9.770000000000039,9.010000000000048,11.0,1024,62,4.84,51,2023-04-03 07:37:43,2023-04-03 20:33:07
Villeurbanne,9.5,5.830000000000041,8.450000000000045,11.020000000000039,1019,78,8.75,350,2023-04-03 07:17:29,2023-04-03 20:09:54
